Extension,MimeType
.cdbcmsg,application/vnd.contact.cmsg
.cdf,application/x-netcdf
.nc,application/x-netcdf
.cdkey,application/vnd.mediastation.cdkey
.cdx,chemical/x-cdx
.cdxml,application/vnd.chemdraw+xml
.cdy,application/vnd.cinderella
.cer,application/pkix-cert
.cgm,image/cgm
.chat,application/x-chat
.chm,application/vnd.ms-htmlhelp
.chrt,application/vnd.kde.kchart
.cif,chemical/x-cif
.cii,application/vnd.anser-web-certificate-issue-initiation
.cil,application/vnd.ms-artgalry
.cla,application/vnd.claymore
.class,application/java-vm
.clkk,application/vnd.crick.clicker.keyboard
.clkp,application/vnd.crick.clicker.palette
.clkt,application/vnd.crick.clicker.template
.clkw,application/vnd.crick.clicker.wordbank
.clkx,application/vnd.crick.clicker
.clp,application/x-msclip
.cmc,application/vnd.cosmocaller
.cmdf,chemical/x-cmdf
.cml,chemical/x-cml
.cmp,application/vnd.yellowriver-custom-menu
.cmx,image/x-cmx
.cod,application/vnd.rim.cod
.conf,text/plain
.def,text/plain
.diff,text/plain
.in,text/plain
.ksh,text/plain
.list,text/plain
.log,text/plain
.pl,text/plain
.text,text/plain
.txt,text/plain
.deb,application/vnd.debian.binary-package
.udeb,application/vnd.debian.binary-package
.md,text/markdown
.markdown,text/markdown
.mdown,text/markdown
.markdn,text/markdown
.wasm,application/wasm
.cpio,application/x-cpio
.cpt,application/mac-compactpro
.crd,application/x-mscardfile
.crl,application/pkix-crl
.crt,application/x-x509-ca-cert
.der,application/x-x509-ca-cert
.csh,application/x-csh
.csml,chemical/x-csml
.csp,application/vnd.commonspace
.css,text/css
.csv,text/csv
.cu,application/cu-seeme
.curl,text/vnd.curl
.cww,application/prs.cww
.daf,application/vnd.mobius.daf
.dataless,application/vnd.fdsn.seed
.seed,application/vnd.fdsn.seed
.davmount,application/davmount+xml
.dcurl,text/vnd.curl.dcurl
.dd2,application/vnd.oma.dd2+xml
.ddd,application/vnd.fujixerox.ddd
.deb,application/x-debian-package
.udeb,application/x-debian-package
.dfac,application/vnd.dreamfactory
.dis,application/vnd.mobius.dis
.djv,image/vnd.djvu
.djvu,image/vnd.djvu
.dna,application/vnd.dna
.doc,application/msword
.dot,application/msword
.wiz,application/msword
.docm,application/vnd.ms-word.document.macroenabled.12
.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
.dotm,application/vnd.ms-word.template.macroenabled.12
.dotx,application/vnd.openxmlformats-officedocument.wordprocessingml.template
.dp,application/vnd.osgi.dp
.dpg,application/vnd.dpgraph
.dsc,text/prs.lines.tag
.dtb,application/x-dtbook+xml
.dtd,application/xml-dtd
.dts,audio/vnd.dts
.dtshd,audio/vnd.dts.hd
.dvi,application/x-dvi
.dwf,model/vnd.dwf
.dwg,image/vnd.dwg
.dxf,image/vnd.dxf
.dxp,application/vnd.spotfire.dxp
.ecelp4800,audio/vnd.nuera.ecelp4800
.ecelp7470,audio/vnd.nuera.ecelp7470
.ecelp9600,audio/vnd.nuera.ecelp9600
.ecma,application/ecmascript
.edm,application/vnd.novadigm.edm
.edx,application/vnd.novadigm.edx
.efif,application/vnd.picsel
.ei6,application/vnd.pg.osasli
.eml,message/rfc822
.mht,message/rfc822
.mhtml,message/rfc822
.mime,message/rfc822
.nws,message/rfc822
.emma,application/emma+xml
.eol,audio/vnd.digital-winds
.eot,application/vnd.ms-fontobject
.epub,application/epub+zip
.es3,application/vnd.eszigno3+xml
.et3,application/vnd.eszigno3+xml
.esf,application/vnd.epson.esf
.etx,text/x-setext
.ext,application/vnd.novadigm.ext
.ez,application/andrew-inset
.ez2,application/vnd.ezpix-album
.ez3,application/vnd.ezpix-package
.f,text/x-fortran
.f77,text/x-fortran
.f90,text/x-fortran
.for,text/x-fortran
.f4v,video/x-f4v
.fbs,image/vnd.fastbidsheet
.fdf,application/vnd.fdf
.fe_launch,application/vnd.denovo.fcselayout-link
.fg5,application/vnd.fujitsu.oasysgp
.fh,image/x-freehand
.fh4,image/x-freehand
.fh5,image/x-freehand
.fh7,image/x-freehand
.fhc,image/x-freehand
.fig,application/x-xfig
.fli,video/x-fli
.flo,application/vnd.micrografx.flo
.flv,video/x-flv
.flw,application/vnd.kde.kivio
.flx,text/vnd.fmi.flexstor
.fly,text/vnd.fly
.fnc,application/vnd.frogans.fnc
.fpx,image/vnd.fpx
.fsc,application/vnd.fsc.weblaunch
.fst,image/vnd.fst
.ftc,application/vnd.fluxtime.clip
.fti,application/vnd.anser-web-funds-transfer-initiation
.fvt,video/vnd.fvt
.fzs,application/vnd.fuzzysheet
.g3,image/g3fax
.gac,application/vnd.groove-account
.gdl,model/vnd.gdl
.geo,application/vnd.dynageo
.gex,application/vnd.geometry-explorer
.gre,application/vnd.geometry-explorer
.ggb,application/vnd.geogebra.file
.ggt,application/vnd.geogebra.tool
.ghf,application/vnd.groove-help
.gif,image/gif
.gim,application/vnd.groove-identity-message
.gmx,application/vnd.gmx
.gnumeric,application/x-gnumeric
.gph,application/vnd.flographit
.gqf,application/vnd.grafeq
.gqs,application/vnd.grafeq
.gram,application/srgs
.grv,application/vnd.groove-injector
.grxml,application/srgs+xml
.gsf,application/x-font-ghostscript
.gtar,application/x-gtar
.gtm,application/vnd.groove-tool-message
.gtw,model/vnd.gtw
.gv,text/vnd.graphviz
.gz,application/x-gzip
.tgz,application/x-gzip
.gz,application/gzip
.tgz,application/gzip
.h261,video/h261
.gcode,gcode
.h263,video/h263
.h264,video/h264
.hbci,application/vnd.hbci
.gbr,application/vnd.gerber
.hdf,application/x-hdf
.hlp,application/winhlp
.hpgl,application/vnd.hp-hpgl
.hpid,application/vnd.hp-hpid
.hps,application/vnd.hp-hps
.hqx,application/mac-binhex40
.htke,application/vnd.kenameaapp
.htm,text/html
.html,text/html
.hvd,application/vnd.yamaha.hv-dic
.hvp,application/vnd.yamaha.hv-voice
.hvs,application/vnd.yamaha.hv-script
.icc,application/vnd.iccprofile
.icm,application/vnd.iccprofile
.ice,x-conference/x-cooltalk
.ico,image/x-icon
.ics,text/calendar
.ifb,text/calendar
.ief,image/ief
.ifm,application/vnd.shana.informed.formdata
.iges,model/iges
.igs,model/iges
.igl,application/vnd.igloader
.igx,application/vnd.micrografx.igx
.iif,application/vnd.shana.informed.interchange
.imp,application/vnd.accpac.simply.imp
.ims,application/vnd.ms-ims
.ipk,application/vnd.shana.informed.package
.irm,application/vnd.ibm.rights-management
.irp,application/vnd.irepository.package+xml
.itp,application/vnd.shana.informed.formtemplate
.ivp,application/vnd.immervision-ivp
.ivu,application/vnd.immervision-ivu
.jad,text/vnd.sun.j2me.app-descriptor
.jam,application/vnd.jam
.jar,application/java-archive
.java,text/x-java-source
.jisp,application/vnd.jisp
.jlt,application/vnd.hp-jlyt
.jnlp,application/x-java-jnlp-file
.joda,application/vnd.joost.joda-archive
.jpe,image/jpeg
.jpeg,image/jpeg
.jpg,image/jpeg
.pjpg,image/jpeg
.jfif,image/jpeg
.jfif-tbnl,image/jpeg
.jif,image/jpeg
.jpe,image/pjpeg
.jpeg,image/pjpeg
.jpg,image/pjpeg
.pjpg,image/pjpeg
.jfi,image/pjpeg
.jfif,image/pjpeg
.jfif-tbnl,image/pjpeg
.jif,image/pjpeg
.jpgm,video/jpm
.jpm,video/jpm
.jpgv,video/jpeg
.sh,application/x-shellscript
.js,text/javascript
.json,application/json
.kar,audio/midi
.mid,audio/midi
.midi,audio/midi
.rmi,audio/midi
.aiff,audio/aiff
.aif,audio/aiff
.aff,audio/aiff
.opus,audio/opus
.karbon,application/vnd.kde.karbon
.kfo,application/vnd.kde.kformula
.kia,application/vnd.kidspiration
.kil,application/x-killustrator
.kml,application/vnd.google-earth.kml+xml
.kmz,application/vnd.google-earth.kmz
.kne,application/vnd.kinar
.knp,application/vnd.kinar
.kon,application/vnd.kde.kontour
.kpr,application/vnd.kde.kpresenter
.kpt,application/vnd.kde.kpresenter
.ksp,application/vnd.kde.kspread
.ktr,application/vnd.kahootz
.ktz,application/vnd.kahootz
.kwd,application/vnd.kde.kword
.kwt,application/vnd.kde.kword
.latex,application/x-latex
.lbd,application/vnd.llamagraphics.life-balance.desktop
.lbe,application/vnd.llamagraphics.life-balance.exchange+xml
.les,application/vnd.hhe.lesson-player
.link66,application/vnd.route66.link66+xml
.lostxml,application/lost+xml
.lrm,application/vnd.ms-lrm
.ltf,application/vnd.frogans.ltf
.lvp,audio/vnd.lucent.voice
.lwp,application/vnd.lotus-wordpro
.m13,application/x-msmediaview
.m14,application/x-msmediaview
.mvb,application/x-msmediaview
.m1v,video/mpeg
.m2v,video/mpeg
.mpa,video/mpeg
.mpe,video/mpeg
.mpeg,video/mpeg
.mpg,video/mpeg
.m2a,audio/mpeg
.m3a,audio/mpeg
.mp2,audio/mpeg
.mp2a,audio/mpeg
.mp3,audio/mpeg
.mpga,audio/mpeg
.m3u,audio/x-mpegurl
.m4u,video/vnd.mpegurl
.mxu,video/vnd.mpegurl
.m4v,video/x-m4v
.ma,application/mathematica
.mb,application/mathematica
.nb,application/mathematica
.mag,application/vnd.ecowin.chart
.man,text/troff
.me,text/troff
.ms,text/troff
.roff,text/troff
.t,text/troff
.tr,text/troff
.mathml,application/mathml+xml
.mml,application/mathml+xml
.mathml,text/mathml
.mml,text/mathml
.db,application/vnd.sqlite3
.sqlite,application/vnd.sqlite3
.sqlite3,application/vnd.sqlite3
.db-wal,application/vnd.sqlite3
.sqlite-wal,application/vnd.sqlite3
.db-shm,application/vnd.sqlite3
.sqlite-shm,application/vnd.sqlite3
.db,application/x-sqlite3
.sqlite,application/x-sqlite3
.sqlite3,application/x-sqlite3
.db-wal,application/x-sqlite3
.sqlite-wal,application/x-sqlite3
.db-shm,application/x-sqlite3
.sqlite-shm,application/x-sqlite3
.mbk,application/vnd.mobius.mbk
.mbox,application/mbox
.mc1,application/vnd.medcalcdata
.mcd,application/vnd.mcd
.mcurl,text/vnd.curl.mcurl
.mdb,application/x-msaccess
.mdi,image/vnd.ms-modi
.mesh,model/mesh
.msh,model/mesh
.silo,model/mesh
.mfm,application/vnd.mfmp
.mgz,application/vnd.proteus.magazine
.mif,application/vnd.mif
.mj2,video/mj2
.mjp2,video/mj2
.mlp,application/vnd.dolby.mlp
.mmd,application/vnd.chipnuts.karaoke-mmd
.mmf,application/vnd.smaf
.mmr,image/vnd.fujixerox.edmics-mmr
.mny,application/x-msmoney
.mobi,application/x-mobipocket-ebook
.prc,application/x-mobipocket-ebook
.mov,video/quicktime
.qt,video/quicktime
.movie,video/x-sgi-movie
.mp4,video/mp4
.mp4v,video/mp4
.mpg4,video/mp4
.iso,application/x-iso9660-image
.isoimg,application/x-iso9660-image
.cdr,application/x-iso9660-image
.yaml,application/yaml
.yml,application/yaml
.mp4s,application/mp4
.mpc,application/vnd.mophun.certificate
.mpkg,application/vnd.apple.installer+xml
.mpm,application/vnd.blueice.multipass
.mpn,application/vnd.mophun.application
.mpp,application/vnd.ms-project
.mpt,application/vnd.ms-project
.mpy,application/vnd.ibm.minipay
.mqy,application/vnd.mobius.mqy
.mrc,application/marc
.mscml,application/mediaservercontrol+xml
.mseed,application/vnd.fdsn.mseed
.mseq,application/vnd.mseq
.msf,application/vnd.epson.msf
.msl,application/vnd.mobius.msl
.msty,application/vnd.muvee.style
.mts,model/vnd.mts
.mus,application/vnd.musician
.musicxml,application/vnd.recordare.musicxml+xml
.mwf,application/vnd.mfer
.mxf,application/mxf
.mxl,application/vnd.recordare.musicxml
.mxml,application/xv+xml
.xhvml,application/xv+xml
.xvm,application/xv+xml
.xvml,application/xv+xml
.mxs,application/vnd.triscape.mxs
.n-gage,application/vnd.nokia.n-gage.symbian.install
.ncx,application/x-dtbncx+xml
.ngdat,application/vnd.nokia.n-gage.data
.nlu,application/vnd.neurolanguage.nlu
.nml,application/vnd.enliven
.nnd,application/vnd.noblenet-directory
.nns,application/vnd.noblenet-sealer
.nnw,application/vnd.noblenet-web
.npx,image/vnd.net-fpx
.nsf,application/vnd.lotus-notes
.oa2,application/vnd.fujitsu.oasys2
.oa3,application/vnd.fujitsu.oasys3
.oas,application/vnd.fujitsu.oasys
.obd,application/x-msbinder
.oda,application/oda
.odb,application/vnd.oasis.opendocument.database
.odc,application/vnd.oasis.opendocument.chart
.odf,application/vnd.oasis.opendocument.formula
.odft,application/vnd.oasis.opendocument.formula-template
.odg,application/vnd.oasis.opendocument.graphics
.odi,application/vnd.oasis.opendocument.image
.odp,application/vnd.oasis.opendocument.presentation
.ods,application/vnd.oasis.opendocument.spreadsheet
.odt,application/vnd.oasis.opendocument.text
.oga,audio/ogg
.ogg,audio/ogg
.spx,audio/ogg
.mkv,video/x-matroska
.mka,audio/x-matroska
.ogv,video/ogg
.ogx,application/ogg
.onepkg,application/onenote
.onetmp,application/onenote
.onetoc,application/onenote
.onetoc2,application/onenote
.opf,application/oebps-package+xml
.oprc,application/vnd.palm
.pdb,application/vnd.palm
.pqa,application/vnd.palm
.org,application/vnd.lotus-organizer
.osf,application/vnd.yamaha.openscoreformat
.osfpvg,application/vnd.yamaha.openscoreformat.osfpvg+xml
.otc,application/vnd.oasis.opendocument.chart-template
.woff,font/woff
.woff2,font/woff2
.rpa,application/x-redhat-package-manager
.pm,application/x-perl
.pl,application/x-perl
.weba,audio/webm
.webm,video/webm
.webp,image/webp
.otf,application/x-font-otf
.otf,font/otf
.otg,application/vnd.oasis.opendocument.graphics-template
.oth,application/vnd.oasis.opendocument.text-web
.oti,application/vnd.oasis.opendocument.image-template
.otm,application/vnd.oasis.opendocument.text-master
.otp,application/vnd.oasis.opendocument.presentation-template
.ots,application/vnd.oasis.opendocument.spreadsheet-template
.ott,application/vnd.oasis.opendocument.text-template
.oxt,application/vnd.openofficeorg.extension
.p,text/x-pascal
.pas,text/x-pascal
.pp,text/x-pascal
.inc,text/x-pascal
.p10,application/pkcs10
.p12,application/x-pkcs12
.pfx,application/x-pkcs12
.p7b,application/x-pkcs7-certificates
.spc,application/x-pkcs7-certificates
.p7c,application/pkcs7-mime
.p7m,application/pkcs7-mime
.p7r,application/x-pkcs7-certreqresp
.p7s,application/pkcs7-signature
.pbd,application/vnd.powerbuilder6
.pbm,image/x-portable-bitmap
.pcf,application/x-font-pcf
.pcl,application/vnd.hp-pcl
.pclxl,application/vnd.hp-pclxl
.pct,image/x-pict
.pic,image/x-pict
.pcurl,application/vnd.curl.pcurl
.pcx,image/x-pcx
.pdf,application/pdf
.pfr,application/font-tdpfr
.pgm,image/x-portable-graymap
.pgn,application/x-chess-pgn
.pgp,application/pgp-encrypted
.pki,application/pkixcmp
.pkipath,application/pkix-pkipath
.plb,application/vnd.3gpp.pic-bw-large
.plc,application/vnd.mobius.plc
.plf,application/vnd.pocketlearn
.pls,application/pls+xml
.pml,application/vnd.ctc-posml
.png,image/png
.pnm,image/x-portable-anymap
.portpkg,application/vnd.macports.portpkg
.pot,application/vnd.ms-powerpoint
.ppa,application/vnd.ms-powerpoint
.pps,application/vnd.ms-powerpoint
.ppt,application/vnd.ms-powerpoint
.pwz,application/vnd.ms-powerpoint
.potm,application/vnd.ms-powerpoint.template.macroenabled.12
.potx,application/vnd.openxmlformats-officedocument.presentationml.template
.ppam,application/vnd.ms-powerpoint.addin.macroenabled.12
.ppd,application/vnd.cups-ppd
.ppm,image/x-portable-pixmap
.ppsm,application/vnd.ms-powerpoint.slideshow.macroenabled.12
.ppsx,application/vnd.openxmlformats-officedocument.presentationml.slideshow
.pptm,application/vnd.ms-powerpoint.presentation.macroenabled.12
.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
.pre,application/vnd.lotus-freelance
.prf,application/pics-rules
.prql,application/prql
.psb,application/vnd.3gpp.pic-bw-small
.psd,image/vnd.adobe.photoshop
.psf,application/x-font-linux-psf
.ptid,application/vnd.pvi.ptid1
.pub,application/x-mspublisher
.pvb,application/vnd.3gpp.pic-bw-var
.pwn,application/vnd.3m.post-it-notes
.py,text/x-python
.pya,audio/vnd.ms-playready.media.pya
.pyc,application/x-python-code
.pyo,application/x-python-code
.pyv,video/vnd.ms-playready.media.pyv
.qam,application/vnd.epson.quickanime
.qbo,application/vnd.intu.qbo
.qfx,application/vnd.intu.qfx
.qps,application/vnd.publishare-delta-tree
.qwd,application/vnd.quark.quarkxpress
.qwt,application/vnd.quark.quarkxpress
.qxb,application/vnd.quark.quarkxpress
.qxd,application/vnd.quark.quarkxpress
.qxl,application/vnd.quark.quarkxpress
.qxt,application/vnd.quark.quarkxpress
.ra,audio/x-pn-realaudio
.ram,audio/x-pn-realaudio
.rar,application/vnd.rar
.rar,application/x-rar-compressed
.ras,image/x-cmu-raster
.rcprofile,application/vnd.ipunplugged.rcprofile
.rdf,application/rdf+xml
.rdz,application/vnd.data-vision.rdz
.rep,application/vnd.businessobjects
.res,application/x-dtbresource+xml
.rgb,image/x-rgb
.rif,application/reginfo+xml
.rl,application/resource-lists+xml
.rlc,image/vnd.fujixerox.edmics-rlc
.rld,application/resource-lists-diff+xml
.rm,application/vnd.rn-realmedia
.rmp,audio/x-pn-realaudio-plugin
.rms,application/vnd.jcp.javame.midlet-rms
.rnc,application/relax-ng-compact-syntax
.rpm,application/x-rpm
.rpss,application/vnd.nokia.radio-presets
.rpst,application/vnd.nokia.radio-preset
.rq,application/sparql-query
.rs,application/rls-services+xml
.rsd,application/rsd+xml
.rss,application/rss+xml
.xml,application/rss+xml
.rtf,application/rtf
.rtx,text/richtext
.saf,application/vnd.yamaha.smaf-audio
.sbml,application/sbml+xml
.sc,application/vnd.ibm.secure-container
.scd,application/x-msschedule
.scm,application/vnd.lotus-screencam
.scq,application/scvp-cv-request
.scs,application/scvp-cv-response
.scurl,text/vnd.curl.scurl
.sda,application/vnd.stardivision.draw
.sdc,application/vnd.stardivision.calc
.sdd,application/vnd.stardivision.impress
.sdkd,application/vnd.solent.sdkm+xml
.sdkm,application/vnd.solent.sdkm+xml
.sdp,application/sdp
.sdw,application/vnd.stardivision.writer
.vor,application/vnd.stardivision.writer
.see,application/vnd.seemail
.sema,application/vnd.sema
.semd,application/vnd.semd
.semf,application/vnd.semf
.ser,application/java-serialized-object
.setpay,application/set-payment-initiation
.setreg,application/set-registration-initiation
.sfd-hdstx,application/vnd.hydrostatix.sof-data
.sfs,application/vnd.spotfire.sfs
.sgl,application/vnd.stardivision.writer-global
.sgm,text/sgml
.sgml,text/sgml
.sh,application/x-sh
.shar,application/x-shar
.shf,application/shf+xml
.si,text/vnd.wap.si
.sic,application/vnd.wap.sic
.sis,application/vnd.symbian.install
.sisx,application/vnd.symbian.install
.sit,application/x-stuffit
.sitx,application/x-stuffitx
.skd,application/vnd.koan
.skm,application/vnd.koan
.skp,application/vnd.koan
.skt,application/vnd.koan
.sl,text/vnd.wap.sl
.slc,application/vnd.wap.slc
.sldm,application/vnd.ms-powerpoint.slide.macroenabled.12
.sldx,application/vnd.openxmlformats-officedocument.presentationml.slide
.slt,application/vnd.epson.salt
.smf,application/vnd.stardivision.math
.smi,application/smil+xml
.smil,application/smil+xml
.snf,application/x-font-snf
.spf,application/vnd.yamaha.smaf-phrase
.spl,application/x-futuresplash
.spot,text/vnd.in3d.spot
.spp,application/scvp-vp-response
.spq,application/scvp-vp-request
.src,application/x-wais-source
.srx,application/sparql-results+xml
.sse,application/vnd.kodak-descriptor
.ssf,application/vnd.epson.ssf
.ssml,application/ssml+xml
.stc,application/vnd.sun.xml.calc.template
.std,application/vnd.sun.xml.draw.template
.stf,application/vnd.wt.stf
.sti,application/vnd.sun.xml.impress.template
.stk,application/hyperstudio
.stl,application/vnd.ms-pki.stl
.str,application/vnd.pg.format
.stw,application/vnd.sun.xml.writer.template
.sus,application/vnd.sus-calendar
.susp,application/vnd.sus-calendar
.sv4cpio,application/x-sv4cpio
.sv4crc,application/x-sv4crc
.svd,application/vnd.svd
.svg,image/svg+xml
.svgz,image/svg+xml
.swf,application/x-shockwave-flash
.swi,application/vnd.arastra.swi
.sxc,application/vnd.sun.xml.calc
.sxd,application/vnd.sun.xml.draw
.sxg,application/vnd.sun.xml.writer.global
.sxi,application/vnd.sun.xml.impress
.sxm,application/vnd.sun.xml.math
.sxw,application/vnd.sun.xml.writer
.tao,application/vnd.tao.intent-module-archive
.tar,application/x-tar
.tcap,application/vnd.3gpp2.tcap
.tcl,application/x-tcl
.teacher,application/vnd.smart.teacher
.tex,application/x-tex
.texi,application/x-texinfo
.texinfo,application/x-texinfo
.tfm,application/x-tex-tfm
.tif,image/tiff
.tiff,image/tiff
.tmo,application/vnd.tmobile-livetv
.torrent,application/x-bittorrent
.tpl,application/vnd.groove-tool-template
.tpt,application/vnd.trid.tpt
.tra,application/vnd.trueapp
.trm,application/x-msterminal
.tsv,text/tab-separated-values
.ttc,application/x-font-ttf
.ttf,application/x-font-ttf
.twd,application/vnd.simtech-mindmapper
.twds,application/vnd.simtech-mindmapper
.txd,application/vnd.genomatix.tuxedo
.txf,application/vnd.mobius.txf
.ufd,application/vnd.ufdl
.ufdl,application/vnd.ufdl
.test,test/mimetype
.umj,application/vnd.umajin
.unityweb,application/vnd.unity
.uoml,application/vnd.uoml+xml
.uri,text/uri-list
.uris,text/uri-list
.urls,text/uri-list
.ustar,application/x-ustar
.utz,application/vnd.uiq.theme
.uu,text/x-uuencode
.vcd,application/x-cdlink
.vcf,text/x-vcard
.vcg,application/vnd.groove-vcard
.vcs,text/x-vcalendar
.vcx,application/vnd.vcx
.vis,application/vnd.visionary
.viv,video/vnd.vivo
.vrml,model/vrml
.wrl,model/vrml
.vsd,application/vnd.visio
.vss,application/vnd.visio
.vst,application/vnd.visio
.vsw,application/vnd.visio
.vsdx,application/vnd.visio
.vssx,application/vnd.visio
.vstx,application/vnd.visio
.vssm,application/vnd.visio
.vstm,application/vnd.visio
.vsf,application/vnd.vsf
.vtu,model/vnd.vtu
.vxml,application/voicexml+xml
.wad,application/x-doom
.ts,video/mp2t
.wav,audio/vnd.wav
.wax,audio/x-ms-wax
.wbmp,image/vnd.wap.wbmp
.wbs,application/vnd.criticaltools.wbs+xml
.wbxml,application/vnd.wap.wbxml
.wcm,application/vnd.ms-works
.wdb,application/vnd.ms-works
.wks,application/vnd.ms-works
.wps,application/vnd.ms-works
.wm,video/x-ms-wm
.wma,audio/x-ms-wma
.wmd,application/x-ms-wmd
.wmf,application/x-msmetafile
.wml,text/vnd.wap.wml
.wmlc,application/vnd.wap.wmlc
.wmls,text/vnd.wap.wmlscript
.wmlsc,application/vnd.wap.wmlscriptc
.wmv,video/x-ms-wmv
.wmx,video/x-ms-wmx
.wmz,application/x-ms-wmz
.wpd,application/vnd.wordperfect
.wpl,application/vnd.ms-wpl
.wqd,application/vnd.wqd
.wri,application/x-mswrite
.wsdl,application/wsdl+xml
.wspolicy,application/wspolicy+xml
.wtb,application/vnd.webturbo
.wvx,video/x-ms-wvx
.x3d,application/vnd.hzn-3d-crossword
.xap,application/x-silverlight-app
.xar,application/vnd.xara
.xbap,application/x-ms-xbap
.xbd,application/vnd.fujixerox.docuworks.binder
.xbm,image/x-xbitmap
.xdm,application/vnd.syncml.dm+xml
.xdp,application/vnd.adobe.xdp+xml
.xdw,application/vnd.fujixerox.docuworks
.xenc,application/xenc+xml
.xer,application/patch-ops-error+xml
.xfdf,application/vnd.adobe.xfdf
.xfdl,application/vnd.xfdl
.xht,application/xhtml+xml
.xhtml,application/xhtml+xml
.xif,image/vnd.xiff
.xla,application/vnd.ms-excel
.xlb,application/vnd.ms-excel
.xlc,application/vnd.ms-excel
.xlm,application/vnd.ms-excel
.xls,application/vnd.ms-excel
.xlt,application/vnd.ms-excel
.xlw,application/vnd.ms-excel
.xlam,application/vnd.ms-excel.addin.macroenabled.12
.xlsb,application/vnd.ms-excel.sheet.binary.macroenabled.12
.xlsm,application/vnd.ms-excel.sheet.macroenabled.12
.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
.xltm,application/vnd.ms-excel.template.macroenabled.12
