value,alias
Excessive McCabe Cyclomatic Complexity,CWE-1121
Excessive Halstead Complexity,CWE-1122
Excessive Use of Self-Modifying Code,CWE-1123
Excessively Deep Nesting,CWE-1124
Excessive Attack Surface,CWE-1125
Declaration of Variable with Unnecessarily Wide Scope,CWE-1126
Compilation with Insufficient Warnings or Errors,CWE-1127
Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),CWE-113
Process Control,CWE-114
Misinterpretation of Input,CWE-115
Improper Encoding or Escaping of Output,CWE-116
Irrelevant Code,CWE-1164
Improper Output Neutralization for Logs,CWE-117
Improper Use of Validation Framework,CWE-1173
ASP.NET Misconfiguration: Improper Model Validation,CWE-1174
Inefficient CPU Computation,CWE-1176
Use of Prohibited Code,CWE-1177
Incorrect Access of Indexable Resource ('Range Error'),CWE-118
DEPRECATED: Use of Uninitialized Resource,CWE-1187
Initialization of a Resource with an Insecure Default,CWE-1188
Improper Isolation of Shared Resources on System-on-a-Chip (SoC),CWE-1189
Improper Restriction of Operations within the Bounds of a Memory Buffer,CWE-119
DMA Device Enabled Too Early in Boot Phase,CWE-1190
On-Chip Debug and Test Interface With Improper Access Control,CWE-1191
"System-on-Chip (SoC) Using Components without Unique, Immutable Identifiers",CWE-1192
Power-On of Untrusted Execution Core Before Enabling Fabric Access Control,CWE-1193
ASP.NET Misconfiguration: Missing Custom Error Page,CWE-12
Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),CWE-120
Generation of Weak Initialization Vector (IV),CWE-1204
Failure to Disable Reserved Bits,CWE-1209
Stack-based Buffer Overflow,CWE-121
Heap-based Buffer Overflow,CWE-122
Insufficient Granularity of Access Control,CWE-1220
Incorrect Register Defaults or Module Parameters,CWE-1221
Insufficient Granularity of Address Regions Protected by Register Locks,CWE-1222
Race Condition for Write-Once Attributes,CWE-1223
Improper Restriction of Write-Once Bit Fields,CWE-1224
Creation of Emergent Resource,CWE-1229
Write-what-where Condition,CWE-123
Exposure of Sensitive Information Through Metadata,CWE-1230
Improper Prevention of Lock Bit Modification,CWE-1231
Improper Lock Behavior After Power State Transition,CWE-1232
Security-Sensitive Hardware Controls with Missing Lock Bit Protection,CWE-1233
Hardware Internal or Debug Modes Allow Override of Locks,CWE-1234
Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations,CWE-1235
Improper Neutralization of Formula Elements in a CSV File,CWE-1236
Improper Zeroization of Hardware Register,CWE-1239
Buffer Underwrite ('Buffer Underflow'),CWE-124
Use of a Cryptographic Primitive with a Risky Implementation,CWE-1240
Use of Predictable Algorithm in Random Number Generator,CWE-1241
Inclusion of Undocumented Features or Chicken Bits,CWE-1242
Sensitive Non-Volatile Information Not Protected During Debug,CWE-1243
Internal Asset Exposed to Unsafe Debug Access Level or State,CWE-1244
Improper Finite State Machines (FSMs) in Hardware Logic,CWE-1245
Improper Write Handling in Limited-write Non-Volatile Memories,CWE-1246
Improper Protection Against Voltage and Clock Glitches,CWE-1247
Semiconductor Defects in Hardware Logic with Security-Sensitive Implications,CWE-1248
Application-Level Admin Tool with Inconsistent View of Underlying Operating System,CWE-1249
Out-of-bounds Read,CWE-125
Improper Preservation of Consistency Between Independent Representations of Shared State,CWE-1250
Mirrored Regions with Different Values,CWE-1251
CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations,CWE-1252
Incorrect Selection of Fuse Values,CWE-1253
Incorrect Comparison Logic Granularity,CWE-1254
Comparison Logic is Vulnerable to Power Side-Channel Attacks,CWE-1255
Improper Restriction of Software Interfaces to Hardware Features,CWE-1256
Improper Access Control Applied to Mirrored or Aliased Memory Regions,CWE-1257
Exposure of Sensitive System Information Due to Uncleared Debug Information,CWE-1258
Improper Restriction of Security Token Assignment,CWE-1259
Buffer Over-read,CWE-126
Improper Handling of Overlap Between Protected Memory Ranges,CWE-1260
Improper Handling of Single Event Upsets,CWE-1261
Improper Access Control for Register Interface,CWE-1262
Improper Physical Access Control,CWE-1263
Hardware Logic with Insecure De-Synchronization between Control and Data Channels,CWE-1264
Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,CWE-1265
Improper Scrubbing of Sensitive Data from Decommissioned Device,CWE-1266
Policy Uses Obsolete Encoding,CWE-1267
Policy Privileges are not Assigned Consistently Between Control and Data Agents,CWE-1268
Product Released in Non-Release Configuration,CWE-1269
Buffer Under-read,CWE-127
Generation of Incorrect Security Tokens,CWE-1270
Uninitialized Value on Reset for Registers Holding Security Settings,CWE-1271
Sensitive Information Uncleared Before Debug/Power State Transition,CWE-1272
Device Unlock Credential Sharing,CWE-1273
Improper Access Control for Volatile Memory Containing Boot Code,CWE-1274
Sensitive Cookie with Improper SameSite Attribute,CWE-1275
Hardware Child Block Incorrectly Connected to Parent System,CWE-1276
Firmware Not Updateable,CWE-1277
Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques,CWE-1278
Cryptographic Operations are run Before Supporting Units are Ready,CWE-1279
Wrap-around Error,CWE-128
Access Control Check Implemented After Asset is Accessed,CWE-1280
Sequence of Processor Instructions Leads to Unexpected Behavior,CWE-1281
Assumed-Immutable Data is Stored in Writable Memory,CWE-1282
Mutable Attestation or Measurement Reporting Data,CWE-1283
Improper Validation of Specified Quantity in Input,CWE-1284
"Improper Validation of Specified Index, Position, or Offset in Input",CWE-1285
Improper Validation of Syntactic Correctness of Input,CWE-1286
Improper Validation of Specified Type of Input,CWE-1287
Improper Validation of Consistency within Input,CWE-1288
Improper Validation of Unsafe Equivalence in Input,CWE-1289
Improper Validation of Array Index,CWE-129
Incorrect Decoding of Security Identifiers ,CWE-1290
Public Key Re-Use for Signing both Debug and Production Code,CWE-1291
Incorrect Conversion of Security Identifiers,CWE-1292
Missing Source Correlation of Multiple Independent Data,CWE-1293
Insecure Security Identifier Mechanism,CWE-1294
Debug Messages Revealing Unnecessary Information,CWE-1295
Incorrect Chaining or Granularity of Debug Components,CWE-1296
Unprotected Confidential Information on Device is Accessible by OSAT Vendors,CWE-1297
Hardware Logic Contains Race Conditions,CWE-1298
Missing Protection Mechanism for Alternate Hardware Interface,CWE-1299
ASP.NET Misconfiguration: Password in Configuration File,CWE-13
Improper Handling of Length Parameter Inconsistency,CWE-130
Improper Protection of Physical Side Channels,CWE-1300
Insufficient or Incomplete Data Removal within Hardware Component,CWE-1301
Missing Security Identifier,CWE-1302
Non-Transparent Sharing of Microarchitectural Resources,CWE-1303
Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation,CWE-1304
Incorrect Calculation of Buffer Size,CWE-131
Missing Ability to Patch ROM Code,CWE-1310
Improper Translation of Security Attributes by Fabric Bridge,CWE-1311
Missing Protection for Mirrored Regions in On-Chip Fabric Firewall,CWE-1312
Hardware Allows Activation of Test or Debug Logic at Runtime,CWE-1313
Missing Write Protection for Parametric Data Values,CWE-1314
Improper Setting of Bus Controlling Capability in Fabric End-point,CWE-1315
Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges,CWE-1316
Improper Access Control in Fabric Bridge,CWE-1317
Missing Support for Security Features in On-chip Fabrics or Buses,CWE-1318
Improper Protection against Electromagnetic Fault Injection (EM-FI),CWE-1319
DEPRECATED: Miscalculated Null Termination,CWE-132
Improper Protection for Outbound Error Messages and Alert Signals,CWE-1320
Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),CWE-1321
"Use of Blocking Code in Single-threaded, Non-blocking Context",CWE-1322
Improper Management of Sensitive Trace Data,CWE-1323
DEPRECATED: Sensitive Information Accessible by Physical Probing of JTAG Interface,CWE-1324
Improperly Controlled Sequential Memory Allocation,CWE-1325
Missing Immutable Root of Trust in Hardware,CWE-1326
Binding to an Unrestricted IP Address,CWE-1327
Security Version Number Mutable to Older Versions,CWE-1328
Reliance on Component That is Not Updateable,CWE-1329
Remanent Data Readable after Memory Erase,CWE-1330
Improper Isolation of Shared Resources in Network On Chip (NoC),CWE-1331
Improper Handling of Faults that Lead to Instruction Skips,CWE-1332
Inefficient Regular Expression Complexity,CWE-1333
Unauthorized Error Injection Can Degrade Hardware Redundancy,CWE-1334
Incorrect Bitwise Shift of Integer,CWE-1335
Improper Neutralization of Special Elements Used in a Template Engine,CWE-1336
Improper Protections Against Hardware Overheating,CWE-1338
Insufficient Precision or Accuracy of a Real Number,CWE-1339
Use of Externally-Controlled Format String,CWE-134
Multiple Releases of Same Resource or Handle,CWE-1341
Information Exposure through Microarchitectural State after Transient Execution,CWE-1342
Incorrect Calculation of Multi-Byte String Length,CWE-135
Improper Handling of Hardware Behavior in Exceptionally Cold Environments,CWE-1351
Reliance on Insufficiently Trustworthy Component,CWE-1357
Improper Neutralization of Special Elements,CWE-138
Improper Handling of Physical or Environmental Conditions,CWE-1384
Missing Origin Validation in WebSockets,CWE-1385
Insecure Operation on Windows Junction / Mount Point,CWE-1386
Incorrect Parsing of Numbers with Different Radices,CWE-1389
Weak Authentication,CWE-1390
Use of Weak Credentials,CWE-1391
Use of Default Credentials,CWE-1392
Use of Default Password,CWE-1393
Use of Default Cryptographic Key,CWE-1394
Dependency on Vulnerable Third-Party Component,CWE-1395
Compiler Removal of Code to Clear Buffers,CWE-14
Improper Neutralization of Delimiters,CWE-140
Improper Neutralization of Parameter/Argument Delimiters,CWE-141
Incorrect Initialization of Resource,CWE-1419
Improper Neutralization of Value Delimiters,CWE-142
Improper Neutralization of Record Delimiters,CWE-143
Improper Neutralization of Line Delimiters,CWE-144
Improper Neutralization of Section Delimiters,CWE-145
Improper Neutralization of Expression/Command Delimiters,CWE-146
Improper Neutralization of Input Terminators,CWE-147
Improper Neutralization of Input Leaders,CWE-148
Improper Neutralization of Quoting Syntax,CWE-149
External Control of System or Configuration Setting,CWE-15
"Improper Neutralization of Escape, Meta, or Control Sequences",CWE-150
Improper Neutralization of Comment Delimiters,CWE-151
Improper Neutralization of Macro Symbols,CWE-152
Improper Neutralization of Substitution Characters,CWE-153
Improper Neutralization of Variable Name Delimiters,CWE-154
Improper Neutralization of Wildcards or Matching Symbols,CWE-155
Improper Neutralization of Whitespace,CWE-156
Failure to Sanitize Paired Delimiters,CWE-157
Improper Neutralization of Null Byte or NUL Character,CWE-158
Improper Handling of Invalid Use of Special Elements,CWE-159
Improper Neutralization of Leading Special Elements,CWE-160
Improper Neutralization of Multiple Leading Special Elements,CWE-161
Improper Neutralization of Trailing Special Elements,CWE-162
Improper Neutralization of Multiple Trailing Special Elements,CWE-163
Improper Neutralization of Internal Special Elements,CWE-164
Improper Neutralization of Multiple Internal Special Elements,CWE-165
Improper Handling of Missing Special Element,CWE-166
Improper Handling of Additional Special Element,CWE-167
Improper Handling of Inconsistent Special Elements,CWE-168
Improper Null Termination,CWE-170
Encoding Error,CWE-172
Improper Handling of Alternate Encoding,CWE-173
Double Decoding of the Same Data,CWE-174
Improper Handling of Mixed Encoding,CWE-175
Improper Handling of Unicode Encoding,CWE-176
Improper Handling of URL Encoding (Hex Encoding),CWE-177
Improper Handling of Case Sensitivity,CWE-178
Incorrect Behavior Order: Early Validation,CWE-179
Incorrect Behavior Order: Validate Before Canonicalize,CWE-180
Incorrect Behavior Order: Validate Before Filter,CWE-181
Collapse of Data into Unsafe Value,CWE-182
Permissive List of Allowed Inputs,CWE-183
Incomplete List of Disallowed Inputs,CWE-184
Incorrect Regular Expression,CWE-185
Overly Restrictive Regular Expression,CWE-186
Partial String Comparison,CWE-187
Reliance on Data/Memory Layout,CWE-188
Integer Overflow or Wraparound,CWE-190
Integer Underflow (Wrap or Wraparound),CWE-191
Integer Coercion Error,CWE-192
Off-by-one Error,CWE-193
Unexpected Sign Extension,CWE-194
Signed to Unsigned Conversion Error,CWE-195
Unsigned to Signed Conversion Error,CWE-196
Numeric Truncation Error,CWE-197
Use of Incorrect Byte Ordering,CWE-198
Improper Input Validation,CWE-20
Exposure of Sensitive Information to an Unauthorized Actor,CWE-200
Insertion of Sensitive Information Into Sent Data,CWE-201
Exposure of Sensitive Information Through Data Queries,CWE-202
Observable Discrepancy,CWE-203
Observable Response Discrepancy,CWE-204
Observable Behavioral Discrepancy,CWE-205
Observable Internal Behavioral Discrepancy,CWE-206
Observable Behavioral Discrepancy With Equivalent Products,CWE-207
Observable Timing Discrepancy,CWE-208
Generation of Error Message Containing Sensitive Information,CWE-209
Self-generated Error Message Containing Sensitive Information,CWE-210
Externally-Generated Error Message Containing Sensitive Information,CWE-211
Improper Removal of Sensitive Information Before Storage or Transfer,CWE-212
Exposure of Sensitive Information Due to Incompatible Policies,CWE-213
Invocation of Process Using Visible Sensitive Information,CWE-214
Insertion of Sensitive Information Into Debugging Code,CWE-215
DEPRECATED: Containment Errors (Container Errors),CWE-216
DEPRECATED: Failure to Protect Stored Data from Modification,CWE-217
DEPRECATED: Failure to provide confidentiality for stored data,CWE-218
Storage of File with Sensitive Data Under Web Root,CWE-219
Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),CWE-22
Storage of File With Sensitive Data Under FTP Root,CWE-220
Information Loss or Omission,CWE-221
Truncation of Security-relevant Information,CWE-222
Omission of Security-relevant Information,CWE-223
Obscured Security-relevant Information by Alternate Name,CWE-224
DEPRECATED: General Information Management Problems,CWE-225
Sensitive Information in Resource Not Removed Before Reuse,CWE-226
Improper Handling of Syntactically Invalid Structure,CWE-228
Improper Handling of Values,CWE-229
Relative Path Traversal,CWE-23
Improper Handling of Missing Values,CWE-230
Improper Handling of Extra Values,CWE-231
Improper Handling of Undefined Values,CWE-232
Improper Handling of Parameters,CWE-233
Failure to Handle Missing Parameter,CWE-234
Improper Handling of Extra Parameters,CWE-235
Improper Handling of Undefined Parameters,CWE-236
Improper Handling of Structural Elements,CWE-237
Improper Handling of Incomplete Structural Elements,CWE-238
Failure to Handle Incomplete Element,CWE-239
Path Traversal: '../filedir',CWE-24
Improper Handling of Inconsistent Structural Elements,CWE-240
Improper Handling of Unexpected Data Type,CWE-241
Use of Inherently Dangerous Function,CWE-242
Creation of chroot Jail Without Changing Working Directory,CWE-243
Improper Clearing of Heap Memory Before Release ('Heap Inspection'),CWE-244
J2EE Bad Practices: Direct Management of Connections,CWE-245
J2EE Bad Practices: Direct Use of Sockets,CWE-246
DEPRECATED: Reliance on DNS Lookups in a Security Decision,CWE-247
Uncaught Exception,CWE-248
DEPRECATED: Often Misused: Path Manipulation,CWE-249
Path Traversal: '/../filedir',CWE-25
Execution with Unnecessary Privileges,CWE-250
Unchecked Return Value,CWE-252
Incorrect Check of Function Return Value,CWE-253
Plaintext Storage of a Password,CWE-256
Storing Passwords in a Recoverable Format,CWE-257
Empty Password in Configuration File,CWE-258
Use of Hard-coded Password,CWE-259
Path Traversal: '/dir/../filename',CWE-26
Password in Configuration File,CWE-260
Weak Encoding for Password,CWE-261
Not Using Password Aging,CWE-262
Password Aging with Long Expiration,CWE-263
Incorrect Privilege Assignment,CWE-266
Privilege Defined With Unsafe Actions,CWE-267
Privilege Chaining,CWE-268
Improper Privilege Management,CWE-269
Path Traversal: 'dir/../../filename',CWE-27
Privilege Context Switching Error,CWE-270
Privilege Dropping / Lowering Errors,CWE-271
Least Privilege Violation,CWE-272
Improper Check for Dropped Privileges,CWE-273
Improper Handling of Insufficient Privileges,CWE-274
Incorrect Default Permissions,CWE-276
Insecure Inherited Permissions,CWE-277
Insecure Preserved Inherited Permissions,CWE-278
Incorrect Execution-Assigned Permissions,CWE-279
Path Traversal: '..\filedir',CWE-28
Improper Handling of Insufficient Permissions or Privileges ,CWE-280
Improper Preservation of Permissions,CWE-281
Improper Ownership Management,CWE-282
Unverified Ownership,CWE-283
Improper Access Control,CWE-284
Improper Authorization,CWE-285
Incorrect User Management,CWE-286
Improper Authentication,CWE-287
Authentication Bypass Using an Alternate Path or Channel,CWE-288
Authentication Bypass by Alternate Name,CWE-289
Path Traversal: '\..\filename',CWE-29
Authentication Bypass by Spoofing,CWE-290
Reliance on IP Address for Authentication,CWE-291
DEPRECATED: Trusting Self-reported DNS Name,CWE-292
Using Referer Field for Authentication,CWE-293
Authentication Bypass by Capture-replay,CWE-294
Improper Certificate Validation,CWE-295
Improper Following of a Certificate's Chain of Trust,CWE-296
Improper Validation of Certificate with Host Mismatch,CWE-297
Improper Validation of Certificate Expiration,CWE-298
Improper Check for Certificate Revocation,CWE-299
Path Traversal: '\dir\..\filename',CWE-30
Channel Accessible by Non-Endpoint,CWE-300
Reflection Attack in an Authentication Protocol,CWE-301
Authentication Bypass by Assumed-Immutable Data,CWE-302
Incorrect Implementation of Authentication Algorithm,CWE-303
Missing Critical Step in Authentication,CWE-304
Authentication Bypass by Primary Weakness,CWE-305
Missing Authentication for Critical Function,CWE-306
Improper Restriction of Excessive Authentication Attempts,CWE-307
Use of Single-factor Authentication,CWE-308
Use of Password System for Primary Authentication,CWE-309
Path Traversal: 'dir\..\..\filename',CWE-31
Missing Encryption of Sensitive Data,CWE-311
Cleartext Storage of Sensitive Information,CWE-312
Cleartext Storage in a File or on Disk,CWE-313
Cleartext Storage in the Registry,CWE-314
Cleartext Storage of Sensitive Information in a Cookie,CWE-315
Cleartext Storage of Sensitive Information in Memory,CWE-316
Cleartext Storage of Sensitive Information in GUI,CWE-317
Cleartext Storage of Sensitive Information in Executable,CWE-318
Cleartext Transmission of Sensitive Information,CWE-319
Path Traversal: '...' (Triple Dot),CWE-32
Use of Hard-coded Cryptographic Key,CWE-321
Key Exchange without Entity Authentication,CWE-322
"Reusing a Nonce, Key Pair in Encryption",CWE-323
Use of a Key Past its Expiration Date,CWE-324
Missing Cryptographic Step,CWE-325
Inadequate Encryption Strength,CWE-326
Use of a Broken or Risky Cryptographic Algorithm,CWE-327
Use of Weak Hash,CWE-328
Generation of Predictable IV with CBC Mode,CWE-329
Path Traversal: '....' (Multiple Dot),CWE-33
Use of Insufficiently Random Values,CWE-330
Insufficient Entropy,CWE-331
Insufficient Entropy in PRNG,CWE-332
Improper Handling of Insufficient Entropy in TRNG,CWE-333
Small Space of Random Values,CWE-334
Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),CWE-335
Same Seed in Pseudo-Random Number Generator (PRNG),CWE-336
Predictable Seed in Pseudo-Random Number Generator (PRNG),CWE-337
Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),CWE-338
Small Seed Space in PRNG,CWE-339
Path Traversal: '....//',CWE-34
Generation of Predictable Numbers or Identifiers,CWE-340
Predictable from Observable State,CWE-341
Predictable Exact Value from Previous Values,CWE-342
Predictable Value Range from Previous Values,CWE-343
Use of Invariant Value in Dynamically Changing Context,CWE-344
Insufficient Verification of Data Authenticity,CWE-345
Origin Validation Error,CWE-346
Improper Verification of Cryptographic Signature,CWE-347
Use of Less Trusted Source,CWE-348
Acceptance of Extraneous Untrusted Data With Trusted Data,CWE-349
Path Traversal: '.../...//',CWE-35
Reliance on Reverse DNS Resolution for a Security-Critical Action,CWE-350
Insufficient Type Distinction,CWE-351
Cross-Site Request Forgery (CSRF),CWE-352
Missing Support for Integrity Check,CWE-353
Improper Validation of Integrity Check Value,CWE-354
Product UI does not Warn User of Unsafe Actions,CWE-356
Insufficient UI Warning of Dangerous Operations,CWE-357
Improperly Implemented Security Check for Standard,CWE-358
Exposure of Private Personal Information to an Unauthorized Actor,CWE-359
Absolute Path Traversal,CWE-36
Trust of System Event Data,CWE-360
Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),CWE-362
Race Condition Enabling Link Following,CWE-363
Signal Handler Race Condition,CWE-364
DEPRECATED: Race Condition in Switch,CWE-365
Race Condition within a Thread,CWE-366
Time-of-check Time-of-use (TOCTOU) Race Condition,CWE-367
Context Switching Race Condition,CWE-368
Divide By Zero,CWE-369
Path Traversal: '/absolute/pathname/here',CWE-37
Missing Check for Certificate Revocation after Initial Check,CWE-370
Incomplete Internal State Distinction,CWE-372
DEPRECATED: State Synchronization Error,CWE-373
Passing Mutable Objects to an Untrusted Method,CWE-374
Returning a Mutable Object to an Untrusted Caller,CWE-375
Insecure Temporary File,CWE-377
Creation of Temporary File With Insecure Permissions,CWE-378
Creation of Temporary File in Directory with Insecure Permissions,CWE-379
Path Traversal: '\absolute\pathname\here',CWE-38
J2EE Bad Practices: Use of System.exit(),CWE-382
J2EE Bad Practices: Direct Use of Threads,CWE-383
Session Fixation,CWE-384
Covert Timing Channel,CWE-385
Symbolic Name not Mapping to Correct Object,CWE-386
Path Traversal: 'C:dirname',CWE-39
Detection of Error Condition Without Action,CWE-390
Unchecked Error Condition,CWE-391
Missing Report of Error Condition,CWE-392
Return of Wrong Status Code,CWE-393
Unexpected Status Code or Return Value,CWE-394
Use of NullPointerException Catch to Detect NULL Pointer Dereference,CWE-395
Declaration of Catch for Generic Exception,CWE-396
Declaration of Throws for Generic Exception,CWE-397
Path Traversal: '\\UNC\share\name\' (Windows UNC Share),CWE-40
Uncontrolled Resource Consumption,CWE-400
Missing Release of Memory after Effective Lifetime,CWE-401
Transmission of Private Resources into a New Sphere ('Resource Leak'),CWE-402
Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak'),CWE-403
Improper Resource Shutdown or Release,CWE-404
Asymmetric Resource Consumption (Amplification),CWE-405
Insufficient Control of Network Message Volume (Network Amplification),CWE-406
Inefficient Algorithmic Complexity,CWE-407
Incorrect Behavior Order: Early Amplification,CWE-408
Improper Handling of Highly Compressed Data (Data Amplification),CWE-409
Improper Resolution of Path Equivalence,CWE-41
Insufficient Resource Pool,CWE-410
Unrestricted Externally Accessible Lock,CWE-412
Improper Resource Locking,CWE-413
Missing Lock Check,CWE-414
Double Free,CWE-415
Use After Free,CWE-416
Unprotected Primary Channel,CWE-419
Path Equivalence: 'filename.' (Trailing Dot),CWE-42
Unprotected Alternate Channel,CWE-420
Race Condition During Access to Alternate Channel,CWE-421
Unprotected Windows Messaging Channel ('Shatter'),CWE-422
DEPRECATED: Proxied Trusted Channel,CWE-423
Improper Protection of Alternate Path,CWE-424
Direct Request ('Forced Browsing'),CWE-425
Untrusted Search Path,CWE-426
Uncontrolled Search Path Element,CWE-427
Unquoted Search Path or Element,CWE-428
Path Equivalence: 'filename....' (Multiple Trailing Dot),CWE-43
Deployment of Wrong Handler,CWE-430
Missing Handler,CWE-431
Dangerous Signal Handler not Disabled During Sensitive Operations,CWE-432
Unparsed Raw Web Content Delivery,CWE-433
Unrestricted Upload of File with Dangerous Type,CWE-434
Improper Interaction Between Multiple Correctly-Behaving Entities,CWE-435
Interpretation Conflict,CWE-436
Incomplete Model of Endpoint Features,CWE-437
Behavioral Change in New Version or Environment,CWE-439
Path Equivalence: 'file.name' (Internal Dot),CWE-44
