name,external_id
Riltok,S0403
Exodus,S0405
Exodus Two,S0405
Exodus One,S0405
Gustuff,S0406
Monokle,S0407
FlexiSpy,S0408
Rotexy,S0411
ViceLeaker,S0418
Triout,S0418
SimBad,S0419
Dvmap,S0420
GolfSpy,S0421
Anubis,S0422
Ginp,S0423
Triada,S0424
Concipit1248,S0425
Wabi Music,S0425
Corona Updates,S0425
Corona Updates,S0426
Concipit1248,S0426
TrickMo,S0427
Joker,S0432
Bread,S0432
Agent Smith,S0440
INSOMNIA,S0463
EventBot,S0478
DEFENSOR ID,S0479
Cerberus,S0480
Mandrake,S0485
darkmatter,S0485
briar,S0485
oxide,S0485
ricinus,S0485
WolfRAT,S0489
XLoader for iOS,S0490
Zen,S0494
Desert Scorpion,S0505
ViperRAT,S0506
eSurv,S0507
FakeSpy,S0509
Marcher,S0522
Exobot,S0522
AndroidOS/MalLocker.B,S0524
Android/AdDisplay.Ashas,S0525
CarbonSteal,S0529
Golden Cup,S0535
GPlayed,S0536
Red Alert 2.0,S0539
Trojan-SMS.AndroidOS.Smaps,S0540
Asacub,S0540
HenBox,S0544
TERRACOTTA,S0545
SilkBean,S0549
DoubleAgent,S0550
GoldenEagle,S0551
CHEMISTGAMES,S0555
Tiktok Pro,S0558
FrozenCell,S0577
Circles,S0602
BusyGasper,S0655
Drinik,S1054
SharkBot,S1055
TianySpy,S1056
AbstractEmu,S1061
S.O.V.A.,S1062
FluBot,S1067
TangleBot,S1069
Hornbill,S1077
BOULDSPY,S1079
Fakecalls,S1080
Sunbird,S1082
Chameleon,S1083
Escobar,S1092
FlyTrap,S1093
BRATA,S1094
AhRat,S1095
FlixOnline,S1103
Phenakite,S1126
HilalRAT,S1128
Boot or Logon Initialization Scripts,T1398
Modify Trusted Execution Environment,T1399
Modify System Partition,T1400
Device Administrator Permissions,T1401
Broadcast Receivers,T1402
Modify Cached Executable Code,T1403
Exploitation for Privilege Escalation,T1404
Exploit TEE Vulnerability,T1405
Obfuscated Files or Information,T1406
Steganography,T1406.001
Software Packing,T1406.002
Download New Code at Runtime,T1407
Disguise Root/Jailbreak Indicators,T1408
Stored Application Data,T1409
Network Traffic Capture or Redirection,T1410
Input Prompt,T1411
Capture SMS Messages,T1412
Access Sensitive Data in Device Logs,T1413
Clipboard Data,T1414
URI Hijacking,T1416
Input Capture,T1417
Keylogging,T1417.001
GUI Input Capture,T1417.002
Software Discovery,T1418
Security Software Discovery,T1418.001
File and Directory Discovery,T1420
System Network Connections Discovery,T1421
System Network Configuration Discovery,T1422
Internet Connection Discovery,T1422.001
Wi-Fi Discovery,T1422.002
Network Service Scanning,T1423
Process Discovery,T1424
System Information Discovery,T1426
Attack PC via USB Connection,T1427
Exploitation of Remote Services,T1428
Audio Capture,T1429
Location Tracking,T1430
Remote Device Management Services,T1430.001
Impersonate SS7 Nodes,T1430.002
Access Contact List,T1432
Access Call Log,T1433
Access Calendar Entries,T1435
Commonly Used Port,T1436
Application Layer Protocol,T1437
Web Protocols,T1437.001
Exfiltration Over Other Network Medium,T1438
Eavesdrop on Insecure Network Communication,T1439
Masquerade as Legitimate Application,T1444
Device Lockout,T1446
Delete Device Data,T1447
Carrier Billing Fraud,T1448
Exploit SS7 to Redirect Phone Calls/SMS,T1449
Exploit SS7 to Track Device Location,T1450
SIM Card Swap,T1451
Manipulate App Store Rankings or Ratings,T1452
Drive-By Compromise,T1456
Replication Through Removable Media,T1458
Lockscreen Bypass,T1461
Manipulate Device Communication,T1463
Network Denial of Service,T1464
Rogue Wi-Fi Access Points,T1465
Downgrade to Insecure Protocols,T1466
Rogue Cellular Base Station,T1467
Remotely Track Device Without Authorization,T1468
Remotely Wipe Data Without Authorization,T1469
Obtain Device Cloud Backups,T1470
Data Encrypted for Impact,T1471
Generate Fraudulent Advertising Revenue,T1472
Supply Chain Compromise,T1474
Compromise Software Dependencies and Development Tools,T1474.001
Compromise Hardware Supply Chain,T1474.002
Compromise Software Supply Chain,T1474.003
Deliver Malicious App via Authorized App Store,T1475
Deliver Malicious App via Other Means,T1476
Exploit via Radio Interfaces,T1477
Install Insecure or Malicious Configuration,T1478
Web Service,T1481
Dead Drop Resolver,T1481.001
Bidirectional Communication,T1481.002
One-Way Communication,T1481.003
Network Information Discovery,T1507
Suppress Application Icon,T1508
Non-Standard Port,T1509
Clipboard Modification,T1510
Video Capture,T1512
Screen Capture,T1513
Input Injection,T1516
Access Notifications,T1517
Domain Generation Algorithms,T1520
Encrypted Channel,T1521
Symmetric Cryptography,T1521.001
Asymmetric Cryptography,T1521.002
SSL Pinning,T1521.003
Evade Analysis Environment,T1523
Archive Collected Data,T1532
Data from Local System,T1533
Code Injection,T1540
Foreground Persistence,T1541
Ingress Tool Transfer,T1544
Native API,T1575
Uninstall Malicious Application,T1576
Compromise Application Executable,T1577
Keychain,T1579
Geofencing,T1581
SMS Control,T1582
Scheduled Task/Job,T1603
Proxy Through Victim,T1604
Command-Line Interface,T1605
Call Control,T1616
Hooking,T1617
User Evasion,T1618
Command and Scripting Interpreter,T1623
Unix Shell,T1623.001
Event Triggered Execution,T1624
Broadcast Receivers,T1624.001
Hijack Execution Flow,T1625
System Runtime API Hijacking,T1625.001
Abuse Elevation Control Mechanism,T1626
Device Administrator Permissions,T1626.001
Execution Guardrails,T1627
Geofencing,T1627.001
Hide Artifacts,T1628
Suppress Application Icon,T1628.001
User Evasion,T1628.002
Conceal Multimedia Files,T1628.003
Impair Defenses,T1629
Prevent Application Removal,T1629.001
Device Lockout,T1629.002
Disable or Modify Tools,T1629.003
Indicator Removal on Host,T1630
Uninstall Malicious Application,T1630.001
File Deletion,T1630.002
Disguise Root/Jailbreak Indicators,T1630.003
Process Injection,T1631
Ptrace System Calls,T1631.001
Subvert Trust Controls,T1632
Code Signing Policy Modification,T1632.001
Virtualization/Sandbox Evasion,T1633
System Checks,T1633.001
Credentials from Password Store,T1634
Keychain,T1634.001
Steal Application Access Token,T1635
URI Hijacking,T1635.001
Protected User Data,T1636
Calendar Entries,T1636.001
Call Log,T1636.002
Contact List,T1636.003
SMS Messages,T1636.004
Dynamic Resolution,T1637
Domain Generation Algorithms,T1637.001
Adversary-in-the-Middle,T1638
Exfiltration Over Alternative Protocol,T1639
Exfiltration Over Unencrypted Non-C2 Protocol,T1639.001
Account Access Removal,T1640
Data Manipulation,T1641
Transmitted Data Manipulation,T1641.001
Endpoint Denial of Service,T1642
Generate Traffic from Victim,T1643
Out of Band Data,T1644
Compromise Client Software Binary,T1645
Exfiltration Over C2 Channel,T1646
Masquerading,T1655
Match Legitimate Name or Location,T1655.001
Exploitation for Client Execution,T1658
Phishing,T1660
Application Versioning,T1661
Data Destruction,T1662
Remote Access Software,T1663
Exploitation for Initial Access,T1664
Initial Access,TA0027
Persistence,TA0028
Privilege Escalation,TA0029
Defense Evasion,TA0030
Credential Access,TA0031
Discovery,TA0032
Lateral Movement,TA0033
Impact,TA0034
Collection,TA0035
Exfiltration,TA0036
Command and Control,TA0037
Network Effects,TA0038
Remote Service Effects,TA0039
Execution,TA0041
